m,x,sin_theta,width_m
1,0.0106,0.011776960979352163,4.517294410100565e-05
2,0.0212,0.023549023206639434,4.5182341138464505e-05
3,0.0317,0.03520039409876921,4.534040146032923e-05
4,0.0419,0.04650518470649874,4.575833884824091e-05
5,0.0536,0.05945021795262614,4.474331788185645e-05
